order_id,customer_name,product,quantity,unit_price,order_date,region,total_price
101,Alice,Laptop,1.5,900.0,2024-05-09,Central,1350.0
102,Unknown,Laptop,1.0,300.0,2024-05-07,Central,300.0
103,Unknown,Laptop,1.0,600.0,2024-05-04,Central,600.0
104,Unknown,Tablet,1.5,300.0,2024-05-26,Central,450.0
105,Heidi,Tablet,2.0,600.0,2024-05-21,North,1200.0
106,Unknown,Laptop,2.0,600.0,2024-05-18,Central,1200.0
107,Unknown,Tablet,1.0,600.0,2024-05-13,Central,600.0
108,Unknown,Laptop,1.5,600.0,2024-05-11,Unknown,900.0
109,Grace,Laptop,2.0,600.0,2024-05-29,Central,1200.0
110,Heidi,Phone,1.5,566.6666666666666,2024-05-24,Unknown,850.0
